Date,Demand (MW),Temp_max,Temp_min,Humidity,Pressure,Wind_speed,Population Density
12/8/2012,634,28,26,85,1004,7,4272975
13/08/2012,608,29,25,87,1002,4,4272975
14/08/2012,619,33,26,83,1002,6,4272975
15/08/2012,604,34,26,81,1001,6,4272975
16/08/2012,624,34,27,81,1000,6,4272975
17/08/2012,614,32,26,75,1002,4,4272975
18/08/2012,596,34,27,77,1000,6,4272975
19/08/2012,618,33,27,74,1002,6,4272975
20/08/2012,585,29,26,88,1004,9,4272975
21/08/2012,573,31,25,87,1005,6,4272975
22/08/2012,571,33,26,81,1006,7,4272975
23/08/2012,587,33,26,81,1003,6,4272975
24/08/2012,587,33,26,82,1001,6,4272975
25/08/2012,598,34,26,81,1004,6,4272975
26/08/2012,608,32,27,85,1002,4,4272975
27/08/2012,612,33,26,77,1004,4,4272975
28/08/2012,609,32,28,76,1003,6,4272975
29/08/2012,600,34,27,78,1003,4,4272975
30/08/2012,617,32,27,80,1004,4,4272975
31/08/2012,598,32,26,84,1004,9,4272975
1/9/2012,611,33,26,73,1001,4,4272975
2/9/2012,640,33,27,82,1002,4,4272975
3/9/2012,665,30,26,86,1004,4,4272975
4/9/2012,635,31,26,84,1007,7,4272975
5/9/2012,623,30,25,88,1007,6,4272975
6/9/2012,612,31,25,83,1009,4,4272975
7/9/2012,622,34,26,81,1007,7,4272975
8/9/2012,630,37,27,79,1004,7,4272975
9/9/2012,630,31,25,88,1007,7,4272975
10/9/2012,630,32,25,85,1004,6,4272975
11/9/2012,633,31,26,81,1005,7,4272975
12/9/2012,625,29,26,85,1005,4,4272975
13/09/2012,627,31,25,85,1007,4,4272975
14/09/2012,632,30,25,79,1008,7,4272975
15/09/2012,625,32,26,88,1009,9,4272975
16/09/2012,625,29,25,83,1007,4,4272975
17/09/2012,625,31,20,85,1010,7,4272975
18/09/2012,633,32,25,84,1011,6,4272975
19/09/2012,637,32,26,86,1005,7,4272975
20/09/2012,620,33,26,81,1004,4,4272975
21/09/2012,633,32,27,88,1003,5,4272975
22/09/2012,608,33,26,87,1008,4,4272975
23/09/2012,615,33,26,78,1005,7,4272975
24/09/2012,621,32,27,79,1006,7,4272975
25/09/2012,626,34,26,82,1008,4,4272975
26/09/2012,635,33,25,85,1009,4,4272975
27/09/2012,635,33,25,80,1010,5,4272975
28/09/2012,640,34,27,81,1011,4,4272975
29/09/2012,640,31,26,83,1009,4,4272975
30/09/2012,662,31,26,83,1009,2,4272975
1/10/2012,667,34,26,81,1010,4,4272975
2/10/2012,670,33,26,84,1011,4,4272975
3/10/2012,670,32,26,81,1012,5,4272975
4/10/2012,662,29,25,82,1011,7,4272975
5/10/2012,620,27,25,83,1010,4,4272975
6/10/2012,650,31,24,83,1009,6,4272975
7/10/2012,642,32,24,79,1012,4,4272975
8/10/2012,622,32,25,78,1009,4,4272975
9/10/2012,628,33,26,85,1010,4,4272975
10/10/2012,647,29,25,84,1009,4,4272975
11/10/2012,620,28,24,83,1008,7,4272975
12/10/2012,616,28,24,81,1009,4,4272975
13/10/2012,614,26,24,82,1010,6,4272975
14/10/2012,620,30,24,83,1012,7,4272975
15/10/2012,632,26,25,84,1013,4,4272975
16/10/2012,617,32,23,84,1014,6,4272975
17/10/2012,613,33,25,85,1012,7,4272975
18/10/2012,598,33,24,80,1012,4,4272975
19/10/2012,593,32,24,81,1011,4,4272975
20/10/2012,585,32,24,82,1013,4,4272975
21/10/2012,570,31,24,83,1012,4,4272975
22/10/2012,575,31,22,83,1014,7,4272975
23/10/2012,565,32,22,84,1009,6,4272975
24/10/2012,565,32,22,81,1010,6,4272975
25/10/2012,569,30,20,79,1008,4,4272975
26/10/2012,516,29,19,78,1007,4,4272975
27/10/2012,497,30,19,80,1008,4,4272975
28/10/2012,479,31,19,80,1009,7,4272975
29/10/2012,507,33,20,81,1010,4,4272975
30/10/2012,518,32,22,82,1012,6,4272975
31/10/2012,540,33,22,80,1011,6,4272975
1/11/2012,560,32,25,80,1013,7,4272975
2/11/2012,551,32,23,75,1014,7,4272975
3/11/2012,558,25,22,77,1015,4,4272975
4/11/2012,539,24,22,79,1016,6,4272975
5/11/2012,553,25,22,73,1012,6,4272975
6/11/2012,549,26,22,74,1013,6,4272975
7/11/2012,554,28,23,78,1014,4,4272975
8/11/2012,568,28,20,76,1016,4,4272975
9/11/2012,552,28,19,80,1015,4,4272975
10/11/2012,535,27,16,79,1014,4,4272975
11/11/2012,550,29,16,79,1011,7,4272975
12/11/2012,556,28,16,77,1010,6,4272975
13/11/2012,549,29,17,76,1009,4,4272975
14/11/2012,539,28,16,80,1008,7,4272975
15/11/2012,538,28,16,83,1010,6,4272975
16/11/2012,527,30,15,80,1011,4,4272975
17/11/2012,527,30,17,82,1012,7,4272975
18/11/2012,526,31,22,79,1013,6,4272975
19/11/2012,560,31,19,78,1015,4,4272975
20/11/2012,558,30,22,77,1014,4,4272975
21/11/2012,557,31,20,80,1012,4,4272975
22/11/2012,532,28,17,83,1013,4,4272975
23/11/2012,530,27,14,82,1014,6,4272975
24/11/2012,520,27,14,81,1012,7,4272975
25/11/2012,513,27,14,80,1010,4,4272975
26/11/2012,518,27,13,78,1009,6,4272975
27/11/2012,535,26,12,75,1008,4,4272975
28/11/2012,500,26,12,74,1009,6,4272975
29/11/2012,522,26,15,75,1012,4,4272975
30/11/2012,515,27,14,76,1013,4,4272975
1/12/2012,510,28,14,88,1014,5,4272975
2/12/2012,525,28,13,86,1015,6,4272975
3/12/2012,537,28,13,85,1016,5,4272975
4/12/2012,520,28,14,84,1015,4,4272975
5/12/2012,527,27,13,83,1017,6,4272975
6/12/2012,527,27,14,82,1013,5,4272975
7/12/2012,512,25,14,81,1014,5,4272975
8/12/2012,521,24,14,88,1015,6,4272975
9/12/2012,517,23,15,86,1014,4,4272975
10/12/2012,508,22,15,78,1013,4,4272975
11/12/2012,495,21,14,80,1016,4,4272975
12/12/2012,500,25,16,90,1015,4,4272975
13/12/2012,496,26,15,92,1014,6,4272975
14/12/2012,486,27,15,87,1014,4,4272975
15/12/2012,512,25,15,88,1013,4,4272975
16/12/2012,487,27,12,89,1012,7,4272975
17/12/2012,515,25,12,87,1017,4,4272975
18/12/2012,514,19,15,87,1017,6,4272975
19/12/2012,510,22,15,83,1016,6,4272975
20/12/2012,518,22,11,84,1015,4,4272975
21/12/2012,503,22,13,89,1014,6,4272975
22/12/2012,507,16,12,82,1013,4,4272975
23/12/2012,510,22,14,86,1009,4,4272975
24/12/2012,520,20,12,87,1016,4,4272975
25/12/2012,510,17,11,88,1015,4,4272975
26/12/2012,508,20,11,79,1014,6,4272975
27/12/2012,505,16,9,89,1012,4,4272975
28/12/2012,494,15,8,88,1017,6,4272975
29/12/2012,504,20,11,83,1015,4,4272975
30/12/2012,508,22,9,85,1016,4,4272975
31/12/2012,498,23,9,88,1014,6,4272975
1/1/2013,495,23,9,75,1014,4,4358959
2/1/2013,518,26,9,76,1016,6,4358959
3/1/2013,504,26,11,77,1015,4,4358959
4/1/2013,495,26,11,74,1017,6,4358959
5/1/2013,500,25,12,75,1018,6,4358959
6/1/2013,495,23,9,72,106,4,4358959
7/1/2013,499,21,12,77,1015,4,4358959
8/1/2013,495,21,10,78,1015,5,4358959
9/1/2013,495,14,6,79,1014,6,4358959
10/1/2013,498,16,4,73,1012,5,4358959
11/1/2013,490,16,6,77,1017,7,4358959
12/1/2013,496,22,5,76,1012,4,4358959
13/01/2013,530,24,7,78,1014,6,4358959
14/01/2013,535,26,8,74,1015,4,4358959
15/01/2013,528,26,9,79,1016,6,4358959
16/01/2013,532,26,10,77,1017,4,4358959
17/01/2013,526,27,10,75,1018,4,4358959
18/01/2013,525,28,11,76,1016,4,4358959
19/01/2013,531,28,11,77,1014,6,4358959
20/01/2013,539,27,13,79,1013,6,4358959
21/01/2013,557,24,14,72,1012,6,4358959
22/01/2013,557,26,9,79,1013,4,4358959
23/01/2013,552,28,9,74,1012,4,4358959
24/01/2013,545,26,9,75,1014,4,4358959
25/01/2013,540,22,8,78,1015,6,4358959
26/01/2013,532,24,6,74,1015,4,4358959
27/01/2013,550,24,6,80,1016,6,4358959
28/01/2013,552,24,9,79,1017,4,4358959
29/01/2013,552,27,11,75,1014,6,4358959
30/01/2013,575,26,10,76,1015,4,4358959
31/01/2013,530,26,11,78,1013,6,4358959
1/2/2013,535,26,18,71,1015,7,4358959
2/2/2013,542,28,13,73,1016,5,4358959
3/2/2013,526,28,17,64,1015,4,4358959
4/2/2013,558,29,12,69,1017,4,4358959
5/2/2013,546,30,13,68,1016,4,4358959
6/2/2013,531,30,13,66,1018,7,4358959
7/2/2013,569,30,15,68,1015,6,4358959
8/2/2013,554,28,17,67,1014,5,4358959
9/2/2013,530,28,17,71,1013,4,4358959
10/2/2013,552,28,10,73,1013,4,4358959
11/2/2013,561,29,12,75,1012,4,4358959
12/2/2013,561,30,13,72,1015,5,4358959
13/02/2013,568,28,16,73,1016,4,4358959
14/02/2013,568,30,15,70,1012,7,4358959
15/02/2013,566,29,12,68,1012,6,4358959
16/02/2013,559,28,13,66,1013,6,4358959
17/02/2013,576,25,17,69,1014,4,4358959
18/02/2013,519,24,16,71,1016,4,4358959
19/02/2013,547,25,14,73,1015,4,4358959
20/02/2013,552,28,12,75,1014,7,4358959
21/02/2013,538,29,13,72,1013,6,4358959
22/02/2013,533,31,14,71,1010,6,4358959
23/02/2013,544,31,13,73,1016,7,4358959
24/02/2013,565,32,14,74,1017,5,4358959
25/02/2013,574,32,16,66,1013,4,4358959
26/02/2013,573,31,16,64,1012,7,4358959
27/02/2013,574,32,15,68,1010,6,4358959
28/02/2013,570,32,15,69,1011,4,4358959
1/3/2013,573,30,15,64,1009,4,4358959
2/3/2013,586,31,13,65,1011,6,4358959
3/3/2013,583,32,14,64,1012,4,4358959
4/3/2013,586,32,15,65,1009,4,4358959
5/3/2013,600,33,15,67,1008,6,4358959
6/3/2013,610,32,15,63,1007,6,4358959
7/3/2013,602,33,17,65,1013,4,4358959
8/3/2013,578,34,16,67,1012,4,4358959
9/3/2013,583,33,16,63,1011,4,4358959
10/3/2013,595,35,17,62,1013,7,4358959
11/3/2013,596,31,18,60,1010,6,4358959
12/3/2013,590,32,23,58,1011,5,4358959
13/03/2013,603,33,24,63,1012,5,4358959
14/03/2013,588,33,24,59,1009,4,4358959
15/03/2013,583,34,22,65,1008,4,4358959
16/03/2013,602,35,23,63,1007,4,4358959
17/03/2013,605,34,20,62,1009,4,4358959
18/03/2013,604,31,19,70,1010,9,4358959
19/03/2013,600,33,20,61,1011,7,4358959
20/03/2013,623,33,23,72,1012,6,4358959
21/03/2013,613,33,24,71,1013,4,4358959
22/03/2013,588,32,25,70,1012,4,4358959
23/03/2013,585,34,20,62,1011,6,4358959
24/03/2013,614,33,25,64,1009,4,4358959
25/03/2013,604,34,24,63,1012,2,4358959
26/03/2013,573,35,26,69,1007,4,4358959
27/03/2013,607,35,26,68,1013,4,4358959
28/03/2013,610,34,27,67,1011,4,4358959
29/03/2013,592,32,25,65,1012,9,4358959
30/03/2013,620,34,22,62,1911,6,4358959
31/03/2013,598,34,24,63,1011,2,4358959
1/4/2013,617,33,24,70,1010,4,4358959
2/4/2013,620,34,23,71,1009,6,4358959
3/4/2013,635,34,21,73,1008,4,4358959
4/4/2013,610,36,25,72,1006,6,4358959
5/4/2013,594,36,25,73,1008,6,4358959
6/4/2013,616,36,23,69,1007,4,4358959
7/4/2013,632,35,25,68,1006,4,4358959
8/4/2013,585,35,25,66,1006,4,4358959
9/4/2013,588,36,25,67,1005,6,4358959
10/4/2013,600,36,26,69,1008,6,4358959
11/4/2013,605,35,26,68,1006,6,4358959
12/4/2013,606,36,27,70,1008,4,4358959
13/04/2013,593,35,27,71,1007,4,4358959
14/04/2013,596,32,26,72,1005,7,4358959
15/04/2013,620,33,23,73,1005,4,4358959
16/04/2013,600,29,22,71,1007,4,4358959
17/04/2013,582,30,19,74,1009,6,4358959
18/04/2013,584,31,23,75,1007,6,4358959
19/04/2013,576,34,22,68,1008,6,4358959
20/04/2013,581,32,22,69,1006,7,4358959
21/04/2013,594,33,23,70,1008,6,4358959
22/04/2013,580,26,22,71,1005,4,4358959
23/04/2013,582,32,19,72,1007,4,4358959
24/04/2013,586,34,21,73,1007,7,4358959
25/04/2013,607,34,23,70,1006,6,4358959
26/04/2013,604,35,23,68,1005,6,4358959
27/04/2013,602,33,25,70,1008,4,4358959
28/04/2013,578,32,20,68,1006,7,4358959
29/04/2013,582,34,26,69,1007,6,4358959
30/04/2013,569,34,23,70,1009,4,4358959
1/5/2013,566,33,27,84,1007,4,4358959
2/5/2013,612,34,29,82,1003,6,4358959
3/5/2013,584,34,28,84,1004,4,4358959
4/5/2013,594,28,24,81,1005,4,4358959
5/5/2013,579,29,20,82,1006,6,4358959
6/5/2013,559,24,20,83,1004,4,4358959
7/5/2013,542,27,21,86,1005,4,4358959
8/5/2013,539,27,24,85,1007,4,4358959
9/5/2013,532,29,22,84,1001,4,4358959
10/5/2013,546,32,26,84,1004,4,4358959
11/5/2013,568,30,22,89,1006,4,4358959
12/5/2013,561,31,24,85,1005,4,4358959
13/05/2013,560,34,24,80,1003,6,4358959
14/05/2013,583,33,23,77,1003,6,4358959
15/05/2013,564,32,26,78,1005,6,4358959
16/05/2013,475,25,21,79,1006,6,4358959
17/05/2013,529,32,23,83,1002,5,4358959
18/05/2013,554,33,23,82,1005,4,4358959
19/05/2013,540,33,26,80,1007,7,4358959
20/05/2013,562,30,26,81,1006,6,4358959
21/05/2013,578,28,25,83,1005,4,4358959
22/05/2013,558,29,25,88,1004,5,4358959
23/05/2013,544,27,25,87,1007,6,4358959
24/05/2013,548,26,25,86,1004,6,4358959
25/05/2013,546,30,25,89,1003,4,4358959
26/05/2013,580,34,25,85,1006,4,4358959
27/05/2013,586,35,26,84,1005,4,4358959
28/05/2013,570,33,25,83,1003,4,4358959
29/05/2013,563,32,26,79,1005,4,4358959
30/05/2013,557,31,25,78,1003,7,4358959
31/05/2013,498,31,24,77,1006,11,4358959
1/6/2013,577,32,25,79,999,7,4358959
2/6/2013,592,35,27,80,997,6,4358959
3/6/2013,592,35,27,79,998,6,4358959
4/6/2013,595,34,26,78,996,6,4358959
5/6/2013,605,31,28,79,999,5,4358959
6/6/2013,606,33,27,82,1001,4,4358959
7/6/2013,582,31,26,81,1000,4,4358959
8/6/2013,584,32,26,80,1002,4,4358959
9/6/2013,607,32,26,79,1002,4,4358959
10/6/2013,609,33,27,78,1003,4,4358959
11/6/2013,611,35,29,77,1000,4,4358959
12/6/2013,604,36,27,76,999,2,4358959
13/06/2013,625,34,26,78,998,4,4358959
14/06/2013,583,32,27,77,998,4,4358959
15/06/2013,608,34,27,78,999,4,4358959
16/06/2013,599,35,27,79,1000,4,4358959
17/06/2013,618,35,28,81,1002,4,4358959
18/06/2013,620,35,29,83,1003,6,4358959
19/06/2013,646,35,25,80,1000,6,4358959
20/06/2013,617,33,25,81,1002,6,4358959
21/06/2013,595,35,26,82,1001,6,4358959
22/06/2013,589,34,26,86,1003,7,4358959
23/06/2013,602,34,27,84,1003,7,4358959
24/06/2013,603,34,26,83,1001,4,4358959
25/06/2013,577,28,27,82,1002,4,4358959
26/06/2013,618,30,26,87,1000,4,4358959
27/06/2013,618,28,27,83,1000,6,4358959
28/06/2013,597,30,26,85,1002,6,4358959
29/06/2013,594,29,26,84,1003,4,4358959
30/06/2013,590,29,26,83,1003,4,4358959
1/7/2013,578,33,26,77,1002,4,4358959
